행정구역,2023년04월_계_총인구수,2023년04월_계_연령구간인구수,2023년04월_계_0~9세,2023년04월_계_10~19세,2023년04월_계_20~29세,2023년04월_계_30~39세,2023년04월_계_40~49세,2023년04월_계_50~59세,2023년04월_계_60~69세,2023년04월_계_70~79세,2023년04월_계_80~89세,2023년04월_계_90~99세,2023년04월_계_100세 이상
서울특별시 도봉구 쌍문제2동(1132067000),"18,231","18,231",838,"1,221","2,218","2,367","2,555","3,169","3,180","1,670",873,137,3
서울특별시 도봉구 쌍문제3동(1132068000),"16,681","16,681",722,969,"2,475","2,377","2,321","2,794","2,607","1,588",755,68,5
서울특별시 도봉구 쌍문제4동(1132068100),"18,262","18,262","1,014","1,818","2,281","2,152","2,690","3,240","3,052","1,244",669,100,2
서울특별시 도봉구 방학제1동(1132069000),"28,059","28,059","1,264","2,089","3,584","3,158","3,866","5,156","4,873","2,729","1,199",134,7
서울특별시 도봉구 방학제2동(1132070000),"18,943","18,943",719,"1,293","2,289","2,003","2,468","3,621","3,502","1,913","1,011",121,3
서울특별시 도봉구 방학제3동(1132071000),"26,385","26,385","1,563","2,553","2,918","2,924","3,817","4,483","4,710","2,099","1,116",196,6
서울특별시 노원구 (1135000000),"501,838","501,838","27,567","48,788","67,447","61,399","77,294","85,877","72,673","38,753","19,195","2,761",84
서울특별시 노원구 월계1동(1135056000),"20,842","20,842",954,"1,554","3,648","2,405","2,975","3,299","3,089","1,956",840,120,2
서울특별시 노원구 월계2동(1135057000),"25,882","25,882","1,424","1,928","2,888","2,892","3,845","4,341","4,552","2,627","1,191",187,7
서울특별시 노원구 월계3동(1135058000),"29,030","29,030","1,803","1,964","3,193","4,295","4,285","4,550","4,710","2,719","1,332",174,5
서울특별시 노원구 공릉1동(1135059500),"36,301","36,301","1,623","2,534","6,614","4,981","5,065","5,440","5,639","2,971","1,245",186,3
서울특별시 노원구 공릉2동(1135060000),"41,777","41,777","3,051","4,316","6,900","5,548","6,706","6,332","5,185","2,487","1,109",140,3
서울특별시 노원구 하계1동(1135061100),"26,942","26,942",946,"3,352","4,700","2,651","3,495","4,821","3,846","1,904","1,073",151,3
서울특별시 노원구 하계2동(1135061200),"21,445","21,445","1,230","2,546","2,680","2,450","3,572","3,799","2,875","1,406",760,127,0
서울특별시 노원구 중계본동(1135061900),"23,182","23,182","1,190","4,233","2,961","1,686","4,389","4,561","2,480","1,009",601,71,1
서울특별시 노원구 중계1동(1135062100),"26,427","26,427","1,700","5,302","2,839","1,887","5,818","4,841","2,406",982,576,73,3
서울특별시 노원구 중계4동(1135062400),"19,412","19,412",933,"2,015","2,342","1,799","3,015","3,621","2,757","1,884",908,135,3
서울특별시 노원구 중계2.3동(1135062500),"33,067","33,067","1,616","2,780","3,768","3,964","5,005","5,566","4,993","3,311","1,801",251,12
서울특별시 노원구 상계1동(1135063000),"37,470","37,470","1,966","3,041","4,669","4,520","5,273","6,728","6,425","3,149","1,476",211,12
서울특별시 노원구 상계2동(1135064000),"19,427","19,427",753,"1,681","2,975","2,168","2,640","3,764","3,167","1,469",725,79,6
서울특별시 노원구 상계3.4동(1135066500),"25,050","25,050","1,153","1,824","2,828","2,589","3,452","4,489","4,502","2,667","1,407",133,6
서울특별시 노원구 상계5동(1135067000),"23,413","23,413",879,"1,788","3,084","2,606","3,130","4,434","3,890","2,273","1,150",172,7
서울특별시 노원구 상계6.7동(1135069500),"31,849","31,849","2,003","2,777","4,137","4,671","5,033","5,545","4,250","2,135","1,082",212,4
서울특별시 노원구 상계8동(1135070000),"22,148","22,148","2,034","1,839","2,406","4,738","3,730","3,059","2,386","1,239",615,100,2
서울특별시 노원구 상계9동(1135071000),"19,885","19,885","1,100","1,799","2,471","2,657","3,073","3,504","2,944","1,453",738,145,1
서울특별시 노원구 상계10동(1135072000),"18,289","18,289","1,209","1,515","2,344","2,892","2,793","3,183","2,577","1,112",566,94,4
서울특별시 은평구 (1138000000),"464,217","464,217","24,921","35,927","62,390","65,420","70,890","76,466","67,978","38,862","19,200","2,111",52
서울특별시 은평구 녹번동(1138051000),"36,363","36,363","2,209","2,127","4,645","5,750","5,447","5,817","5,406","3,200","1,566",193,3
서울특별시 은평구 불광제1동(1138052000),"37,780","37,780","1,934","2,442","4,845","5,218","5,432","6,460","5,947","3,425","1,862",212,3
서울특별시 은평구 불광제2동(1138053000),"27,083","27,083",862,"1,528","3,929","3,845","3,454","4,658","4,563","2,724","1,383",133,4
서울특별시 은평구 갈현제1동(1138055100),"15,080","15,080",540,991,"2,238","2,126","2,082","2,581","2,470","1,354",624,73,1
서울특별시 은평구 갈현제2동(1138055200),"27,752","27,752","1,208","2,250","3,960","3,688","4,205","4,856","4,047","2,327","1,107",104,0
서울특별시 은평구 구산동(1138056000),"31,731","31,731","1,430","2,585","4,357","3,831","4,673","5,618","5,007","2,777","1,306",143,4
서울특별시 은평구 대조동(1138057000),"27,312","27,312",926,"1,492","5,098","4,677","3,624","4,167","3,674","2,349","1,206",96,3
서울특별시 은평구 응암제1동(1138058000),"32,942","32,942","2,370","2,707","4,291","5,327","5,535","4,976","4,081","2,363","1,166",124,2
서울특별시 은평구 응암제2동(1138059000),"27,681","27,681","2,895","2,549","2,517","4,303","5,637","3,915","3,136","1,769",857,99,4
서울특별시 은평구 응암제3동(1138060000),"23,706","23,706",797,"1,320","3,347","3,290","3,163","3,890","3,854","2,479","1,402",162,2
서울특별시 은평구 역촌동(1138062500),"44,420","44,420","2,002","3,172","6,099","6,071","6,889","7,583","6,677","3,921","1,818",182,6
서울특별시 은평구 신사제1동(1138063100),"26,733","26,733","1,312","1,834","3,687","3,872","3,942","4,391","4,206","2,297","1,075",114,3
